School,Conference,ProjectedPoints,NumberOfProspects
Ohio State,Big Ten,207,15
Miami (FL),ACC,150,14
Clemson,ACC,146,16
Texas A&M,SEC,135,20
Indiana,Big Ten,134,15
Alabama,SEC,127,13
Georgia,SEC,120,14
Texas Tech,Big 12,110,12
Oregon,Big Ten,109,12
Penn State,Big Ten,99,16
Tennessee,SEC,98,12
Notre Dame,FBS - Independent,97,13
LSU,SEC,94,15
Arizona State,Big 12,86,13
Utah,Big 12,77,9
Florida,SEC,69,12
Oklahoma,SEC,68,12
USC,Big Ten,68,9
Texas,SEC,63,13
Auburn,SEC,61,9
Missouri,SEC,60,9
Iowa,Big Ten,57,13
Michigan,Big Ten,56,12
Washington,Big Ten,56,7
Cincinnati,Big 12,46,6
South Carolina,SEC,44,11
Illinois,Big Ten,40,11
Arkansas,SEC,40,9
Kentucky,SEC,36,12
Ole Miss,SEC,34,11
Toledo,FBS - MAC,34,4
Vanderbilt,SEC,29,10
TCU,Big 12,29,9
Georgia Tech,ACC,29,6
Duke,ACC,29,6
Louisville,ACC,28,9
Arizona,Big 12,28,5
UCF,Big 12,24,5
Baylor,Big 12,22,7
San Diego State,FBS - Mountain West,22,3
SMU,ACC,20,13
NC State,ACC,20,7
Northwestern,Big Ten,20,6
Boston College,ACC,19,4
Florida State,ACC,18,9
Kansas State,Big 12,18,3
North Dakota State,FCS,18,3
Pitt,ACC,17,4
Iowa State,Big 12,17,3
Wisconsin,Big Ten,16,10
Nebraska,Big Ten,16,8
BYU,Big 12,15,7
Wake Forest,ACC,14,4
Mississippi State,SEC,12,5
California,ACC,12,5
Stanford,ACC,12,4
Kansas,Big 12,11,9
North Carolina,ACC,11,6
Boise State,FBS - Mountain West,11,5
UConn,FBS - AAC,11,2
Navy,FBS - AAC,11,2
Memphis,FBS - AAC,10,5
Michigan State,Big Ten,10,4
Georgia State,FBS - Sun Belt,10,1
Virginia,ACC,9,5
Western Michigan,FBS - MAC,8,4
Southeastern Louisiana,FCS,8,1
Virginia Tech,ACC,7,7
UCLA,Big Ten,7,7
Houston,Big 12,7,3
Maryland,Big Ten,7,3
Wyoming,FBS - Mountain West,7,2
Colorado,Big 12,6,6
Stephen F. Austin,FCS,6,2
Syracuse,ACC,5,5
Miami (OH),FBS - MAC,5,5
UTSA,FBS - AAC,5,4
Buffalo,FBS - MAC,5,1
John Carroll,D3,5,1
Rutgers,Big Ten,4,4
Oregon State,Pac 12,4,4
Tulane,FBS - AAC,4,4
Minnesota,Big Ten,4,3
Troy,FBS - Sun Belt,3,3
James Madison,FBS - Sun Belt,3,3
Texas State,FBS - Sun Belt,3,3
UNLV,FBS - Mountain West,3,3
West Virginia,Big 12,3,3
Louisiana-Lafayette,FBS - Sun Belt,2,2
Youngstown State,FCS,2,2
Incarnate Word,FCS,2,2
South Alabama,FBS - Sun Belt,2,2
New Mexico,FBS - Mountain West,2,2
Fresno State,FBS - Mountain West,2,2
Purdue,Big Ten,2,2
Jacksonville State,FBS - CUSA,2,2
Tulsa,FBS - AAC,2,2
Florida Atlantic,FBS - AAC,2,2
Oklahoma State,Big 12,2,2
Massachusetts,FBS - MAC,2,2
Bowling Green,FBS - MAC,2,2
Central Michigan,FBS - MAC,2,1
Nigeria,D3,1,1
Southern Miss,FBS - CUSA,1,1
Dartmouth,FCS,1,1
Florida International,FBS - CUSA,1,1
South Carolina State,FCS,1,1
Rhode Island,FCS,1,1
Slippery Rock,D2,1,1
Western Kentucky,FBS - CUSA,1,1
Montana,FCS,1,1
William & Mary,FCS,1,1
Kenya,D3,1,1
Hawaii,FBS - Mountain West,1,1
Virginia Union,D2,1,1
Louisiana Tech,FBS - CUSA,1,1
West Alabama,D2,1,1
Charlotte,FBS - AAC,1,1
Western Illinois,FCS,1,1
McNeese State,FCS,1,1
Delaware State,FCS,1,1
UAB,FBS - AAC,1,1
Akron,FBS - MAC,1,1
Sacramento State,FCS,1,1
Nicholls State,FCS,1,1
Georgia Southern,FBS - Sun Belt,1,1
San Jose State,FBS - Mountain West,1,1
South Dakota State,FCS,1,1
North Dakota,FCS,1,1
New Mexico State,FBS - CUSA,1,1
Arkansas State,FBS - Sun Belt,1,1
UT Martin,FCS,1,1
Cal Poly,FCS,1,1
Appalachian State,FBS - Sun Belt,1,1
Sam Houston State,FBS - CUSA,1,1
Northern Illinois,FBS - MAC,1,1
Old Dominion,FBS - CUSA,1,1
Florida A&M,FCS,1,1
Virginia State,D2,1,1
UC Davis,FCS,1,1
Air Force,FBS - Mountain West,1,1
Abilene Christian,FCS,1,1
North Texas,FBS - AAC,1,1
East Tennessee State,FCS,1,1
